1718620875244: GET: /
1718620907744: GET: /
1718620954910: GET: /api/users/1001
1718621084461: ::1: GET: /api/users/1001
1718633443858: ::1: GET: /api/users

1718633680917: ::1: GET: /api/users

1718633719735: ::1: GET: /api/users

1718633771541: ::1: GET: /api/users

1718633771947: ::1: GET: /api/users

1718733003834: ::1: GET: /api/users

1718733415700: ::1: POST: /api/users

1718878477397: ::1: POST: /api/users

1718878544518: ::1: POST: /api/users

1718878571980: ::1: POST: /api/users

1718878594654: ::1: POST: /api/users

1718878736571: ::1: POST: /api/users

1718878750433: ::1: POST: /api/users

1718878807482: ::1: POST: /api/users

1718878872816: ::1: POST: /api/users

1718879048503: ::1: POST: /api/users

1718879076315: ::1: POST: /api/users

1718879112189: ::1: POST: /api/users

1718879130170: ::1: POST: /api/users

1718879264340: ::1: POST: /api/users

1718879905715: ::1: GET: /

1718879906004: ::1: GET: /favicon.ico

1718879911139: ::1: GET: /users

1718879927687: ::1: GET: /users

1718880026282: ::1: GET: /api/users

1718881229883: ::1: GET: /api/users/6674039a36b8a3bae5a14324

1718881260025: ::1: GET: /api/users/667404205838678a92be68e5

1718881382217: ::1: PATCH: /api/users

1718881416399: ::1: PATCH: /api/users/667404205838678a92be68e5

1718881504052: ::1: DELETE: /api/users/667404205838678a92be68e5

1718893052428: ::1: GET: /

1718893066970: ::1: GET: /api/users

1718893118435: ::1: GET: /api/users

1718893137474: ::1: GET: /api/users/10

1718893143270: ::1: GET: /api/users/100

1718893276149: ::1: GET: /api/users/

1718893312453: ::1: GET: /api/users/667404205838678a92be68e5

1718963884588: ::1: GET: /1

1718963914260: ::1: POST: /api/users

1718963927405: ::1: POST: /

1718963932134: ::1: POST: /
